"team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"Golden State Warriors","12/1/16",2016,4,4,7,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,44
"Golden State Warriors","2/11/17",2016,4,10,15,"shot_no","Driving Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,38
"Golden State Warriors","2/10/17",2016,4,10,11,"shot_no","Driving Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",4,2,38
"Golden State Warriors","3/18/17",2016,2,4,43,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,20
"Golden State Warriors","2/8/17",2016,2,0,8,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,24
"Golden State Warriors","3/16/17",2016,2,8,57,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,16
"Golden State Warriors","3/31/17",2016,1,7,7,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,5
"Golden State Warriors","2/27/17",2016,3,11,44,"shot_no","Driving Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,25
"Golden State Warriors","2/23/17",2016,4,11,43,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,37
"Golden State Warriors","11/28/16",2016,1,5,32,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,1,7
"Golden State Warriors","12/25/16",2016,3,2,59,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,34
"Golden State Warriors","1/18/17",2016,4,3,20,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,45
"Golden State Warriors","1/16/17",2016,4,6,59,"shot_no","Driving Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,42
"Golden State Warriors","12/30/16",2016,3,5,17,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,31
"Golden State Warriors","3/29/17",2016,1,11,21,"shot_no","Driving Finger Roll Layup Shot","2PT Field Goal",0,"San Antonio Spurs",6,-1,1
"Golden State Warriors","4/4/17",2016,2,0,48,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Minnesota Timberwolves",-7,21,24
"Golden State Warriors","2/28/17",2016,3,10,29,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",0,"Washington Wizards",6,2,26
"Golden State Warriors","11/7/16",2016,1,11,45,"shot_no","Driving Floating Jump Shot","2PT Field Goal",3,"New Orleans Pelicans",22,31,1
"Golden State Warriors","11/16/16",2016,1,10,11,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",4,"Toronto Raptors",32,38,2
"Golden State Warriors","10/30/16",2016,2,2,2,"shot_no","Driving Floating Jump Shot","2PT Field Goal",5,"Phoenix Suns",42,36,22
"Golden State Warriors","3/28/17",2016,4,4,11,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",9,"Houston Rockets",19,90,44
"Golden State Warriors","3/2/17",2016,3,6,57,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",11,"Chicago Bulls",19,111,30
"Golden State Warriors","2/11/17",2016,3,0,25,"shot_no","Driving Floating Jump Shot","2PT Field Goal",7,"Oklahoma City Thunder",-9,70,36
"Golden State Warriors","11/18/16",2016,3,4,18,"shot_no","Driving Floating Jump Shot","2PT Field Goal",12,"Boston Celtics",-119,21,32
"Golden State Warriors","12/15/16",2016,3,7,58,"shot_no","Driving Floating Jump Shot","2PT Field Goal",5,"New York Knicks",-11,56,29
"Golden State Warriors","4/4/17",2016,1,6,12,"shot_no","Driving Floating Jump Shot","2PT Field Goal",6,"Minnesota Timberwolves",-9,67,6
"Golden State Warriors","11/16/16",2016,4,2,50,"shot_no","Driving Floating Jump Shot","2PT Field Goal",5,"Toronto Raptors",-14,56,46
"Golden State Warriors","11/13/16",2016,1,4,17,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",8,"Phoenix Suns",4,82,8
"Golden State Warriors","10/30/16",2016,4,8,17,"shot_no","Driving Floating Jump Shot","2PT Field Goal",5,"Phoenix Suns",10,51,40
"Golden State Warriors","12/25/16",2016,4,3,49,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",7,"Cleveland Cavaliers",-58,41,45
"Golden State Warriors","11/16/16",2016,3,3,56,"shot_no","Driving Hook Shot","2PT Field Goal",5,"Toronto Raptors",-29,51,33
"Golden State Warriors","11/10/16",2016,3,0,44,"shot_no","Driving Hook Shot","2PT Field Goal",2,"Denver Nuggets",1,26,36
"Golden State Warriors","3/16/17",2016,2,0,26,"shot_yes","Driving Hook Shot","2PT Field Goal",8,"Orlando Magic",4,80,24
"Golden State Warriors","3/24/17",2016,3,11,34,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Sacramento Kings",-19,23,25
"Golden State Warriors","12/1/16",2016,1,6,5,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Houston Rockets",6,21,6
"Golden State Warriors","1/16/17",2016,2,11,34,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Cleveland Cavaliers",2,13,13
"Golden State Warriors","3/18/17",2016,4,5,47,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Milwaukee Bucks",-12,21,43
"Golden State Warriors","3/2/17",2016,3,1,25,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Chicago Bulls",2,7,35
"Golden State Warriors","2/11/17",2016,2,2,29,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Oklahoma City Thunder",28,3,22
"Golden State Warriors","11/21/16",2016,3,9,15,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Indiana Pacers",12,16,27
"Golden State Warriors","3/2/17",2016,1,0,56,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Chicago Bulls",22,16,12
"Golden State Warriors","2/11/17",2016,4,4,44,"shot_no","Driving Layup Shot","2PT Field Goal",0,"Oklahoma City Thunder",1,-6,44
"Golden State Warriors","2/13/17",2016,2,8,53,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Denver Nuggets",22,16,16
"Golden State Warriors","3/6/17",2016,1,9,57,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Atlanta Hawks",19,7,3
"Golden State Warriors","10/25/16",2016,1,2,58,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"San Antonio Spurs",-16,11,10
"Golden State Warriors","1/8/17",2016,4,10,40,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Sacramento Kings",10,11,38
"Golden State Warriors","3/28/17",2016,3,10,52,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Houston Rockets",20,7,26
"Golden State Warriors","1/6/17",2016,4,6,47,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",-17,21,42
"Golden State Warriors","1/29/17",2016,4,2,50,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",25,13,46
"Golden State Warriors","11/28/16",2016,4,6,55,"shot_no","Driving Layup Shot","2PT Field Goal",1,"Atlanta Hawks",6,13,42
"Golden State Warriors","2/1/17",2016,2,1,47,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Charlotte Hornets",1,11,23
"Golden State Warriors","12/8/16",2016,1,9,37,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Utah Jazz",27,7,3
"Golden State Warriors","11/18/16",2016,4,1,29,"shot_no","Driving Layup Shot","2PT Field Goal",1,"Boston Celtics",-14,11,47
"Golden State Warriors","12/1/16",2016,2,2,17,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Houston Rockets",10,7,22
"Golden State Warriors","11/16/16",2016,2,0,31,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Toronto Raptors",-20,18,24
"Golden State Warriors","3/14/17",2016,4,3,7,"shot_no","Driving Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",14,13,45
"Golden State Warriors","11/4/16",2016,4,6,35,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Los Angeles Lakers",0,21,42
"Golden State Warriors","12/8/16",2016,3,4,27,"shot_no","Driving Layup Shot","2PT Field Goal",3,"Utah Jazz",32,8,32
"Golden State Warriors","3/5/17",2016,2,1,34,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"New York Knicks",10,-1,23
"Golden State Warriors","10/30/16",2016,3,10,51,"shot_no","Driving Layup Shot","2PT Field Goal",1,"Phoenix Suns",4,16,26
"Golden State Warriors","3/14/17",2016,2,4,45,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Philadelphia 76ers",2,8,20
"Golden State Warriors","1/20/17",2016,3,11,51,"shot_yes","Driving Layup Shot","2PT Field Goal",3,"Houston Rockets",-38,11,25
"Golden State Warriors","3/16/17",2016,3,7,26,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Orlando Magic",1,3,29
"Golden State Warriors","3/5/17",2016,4,10,8,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"New York Knicks",-19,3,38
"Golden State Warriors","12/30/16",2016,2,4,8,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Dallas Mavericks",4,3,20
"Golden State Warriors","3/2/17",2016,1,8,54,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Chicago Bulls",-27,11,4
"Golden State Warriors","12/23/16",2016,4,1,31,"shot_yes","Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,1,47
"Golden State Warriors","12/7/16",2016,3,7,7,"shot_yes","Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,29
"Golden State Warriors","2/4/17",2016,4,11,23,"shot_yes","Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,37
"Golden State Warriors","3/28/17",2016,2,2,7,"shot_yes","Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,22
"Golden State Warriors","1/28/17",2016,2,2,1,"shot_yes","Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,22
"Golden State Warriors","12/25/16",2016,4,6,31,"shot_yes","Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,42
"Golden State Warriors","1/18/17",2016,3,9,57,"shot_yes","Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,27
"Golden State Warriors","11/25/16",2016,3,7,16,"shot_yes","Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,29
"Golden State Warriors","11/9/16",2016,2,2,53,"shot_no","Fadeaway Bank shot","2PT Field Goal",14,"Dallas Mavericks",128,72,22
"Golden State Warriors","1/20/17",2016,4,11,26,"shot_no","Fadeaway Jump Shot","2PT Field Goal",10,"Houston Rockets",105,3,37
"Golden State Warriors","2/25/17",2016,3,11,44,"shot_no","Fadeaway Jump Shot","2PT Field Goal",17,"Brooklyn Nets",128,121,25
"Golden State Warriors","2/23/17",2016,1,11,9,"shot_no","Fadeaway Jump Shot","2PT Field Goal",8,"Los Angeles Clippers",-73,46,1
"Golden State Warriors","11/4/16",2016,2,5,22,"shot_yes","Finger Roll Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-15,1,19
"Golden State Warriors","12/25/16",2016,3,6,29,"shot_yes","Finger Roll Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",-4,-5,30
"Golden State Warriors","12/20/16",2016,2,4,40,"shot_yes","Floating Jump shot","2PT Field Goal",12,"Utah Jazz",2,120,20
"Golden State Warriors","11/9/16",2016,1,11,39,"shot_no","Floating Jump shot","2PT Field Goal",9,"Dallas Mavericks",-1,97,1
"Golden State Warriors","1/28/17",2016,2,10,35,"shot_no","Floating Jump shot","2PT Field Goal",10,"Los Angeles Clippers",6,105,14
"Golden State Warriors","3/6/17",2016,3,4,54,"shot_no","Floating Jump shot","2PT Field Goal",3,"Atlanta Hawks",33,13,32
