"team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"Golden State Warriors","1/20/17",2016,1,4,1,"shot_yes","Driving Floating Bank Jump Shot","2PT Field Goal",6,"Houston Rockets",46,46,8
"Golden State Warriors","11/16/16",2016,4,0,40,"shot_no","Driving Floating Bank Jump Shot","3PT Field Goal",25,"Toronto Raptors",6,257,48
"Golden State Warriors","10/25/16",2016,4,11,27,"shot_yes","Driving Floating Bank Jump Shot","2PT Field Goal",10,"San Antonio Spurs",33,95,37
"Golden State Warriors","2/27/17",2016,1,7,47,"shot_yes","Driving Floating Bank Jump Shot","2PT Field Goal",4,"Philadelphia 76ers",-40,-5,5
"Golden State Warriors","2/10/17",2016,1,9,37,"shot_no","Driving Floating Bank Jump Shot","2PT Field Goal",9,"Memphis Grizzlies",99,7,3
"Golden State Warriors","10/25/16",2016,3,11,18,"shot_no","Driving Floating Jump Shot","2PT Field Goal",7,"San Antonio Spurs",-34,65,25
"Golden State Warriors","11/28/16",2016,4,10,2,"shot_no","Driving Floating Jump Shot","2PT Field Goal",9,"Atlanta Hawks",9,90,38
"Golden State Warriors","12/25/16",2016,4,7,57,"shot_no","Driving Floating Jump Shot","2PT Field Goal",11,"Cleveland Cavaliers",-114,7,41
"Golden State Warriors","2/11/17",2016,1,3,31,"shot_no","Driving Floating Jump Shot","2PT Field Goal",3,"Oklahoma City Thunder",-6,36,9
"Golden State Warriors","2/11/17",2016,1,5,15,"shot_no","Driving Floating Jump Shot","2PT Field Goal",5,"Oklahoma City Thunder",-14,56,7
"Golden State Warriors","2/11/17",2016,3,10,44,"shot_no","Driving Floating Jump Shot","2PT Field Goal",9,"Oklahoma City Thunder",-7,95,26
"Golden State Warriors","12/10/16",2016,3,10,22,"shot_no","Driving Floating Jump Shot","2PT Field Goal",8,"Memphis Grizzlies",63,57,26
"Golden State Warriors","11/1/16",2016,2,10,21,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",9,"Portland Trail Blazers",-25,90,14
"Golden State Warriors","2/27/17",2016,1,2,36,"shot_no","Driving Floating Jump Shot","2PT Field Goal",4,"Philadelphia 76ers",-1,41,10
"Golden State Warriors","1/29/17",2016,4,1,26,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",12,"Portland Trail Blazers",-19,124,47
"Golden State Warriors","11/23/16",2016,3,8,15,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",4,"Los Angeles Lakers",2,41,28
"Golden State Warriors","12/25/16",2016,4,10,52,"shot_no","Driving Floating Jump Shot","2PT Field Goal",9,"Cleveland Cavaliers",-91,23,38
"Golden State Warriors","1/29/17",2016,2,3,20,"shot_no","Driving Floating Jump Shot","2PT Field Goal",10,"Portland Trail Blazers",99,26,21
"Golden State Warriors","10/25/16",2016,4,8,16,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",6,"San Antonio Spurs",0,61,40
"Golden State Warriors","12/20/16",2016,3,6,35,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",9,"Utah Jazz",-29,95,30
"Golden State Warriors","11/25/16",2016,3,6,33,"shot_yes","Driving Hook Shot","2PT Field Goal",8,"Los Angeles Lakers",76,47,30
"Golden State Warriors","1/6/17",2016,2,9,32,"shot_no","Driving Hook Shot","2PT Field Goal",7,"Memphis Grizzlies",43,57,15
"Golden State Warriors","2/2/17",2016,3,11,37,"shot_no","Driving Hook Shot","2PT Field Goal",2,"Los Angeles Clippers",20,11,25
"Golden State Warriors","11/16/16",2016,4,8,0,"shot_yes","Driving Hook Shot","2PT Field Goal",5,"Toronto Raptors",50,26,40
"Golden State Warriors","1/16/17",2016,2,5,26,"shot_yes","Driving Hook Shot","2PT Field Goal",2,"Cleveland Cavaliers",-1,26,19
"Golden State Warriors","2/2/17",2016,3,5,26,"shot_no","Driving Hook Shot","2PT Field Goal",3,"Los Angeles Clippers",24,23,31
